marca,modelo,ano_modelo,ano_fabr,quilometragem,cor,estado,cambio,motor,tipo_combustivel,preco
CHEVROLET,CRUZE,2018.0,2018,60874.0,Vermelho,SP,AUTOMÁTICO,1.4,FLEX,92990.0
CHEVROLET,ONIX,2017.0,2016,57000.0,Branco,SC,AUTOMÁTICO,1.4,FLEX,70900.0
CHEVROLET,PRISMA,2017.0,2017,129962.0,Branco,SP,MANUAL,1.4,FLEX,56900.0
CHEVROLET,S10,2020.0,2020,17000.0,Preto,SP,AUTOMÁTICO,2.8,DIESEL,216900.0
CHEVROLET,S10,2022.0,2021,25007.0,Branco,MG,AUTOMÁTICO,2.8,DIESEL,258900.0
CHEVROLET,CRUZE,2020.0,2019,44000.0,Preto,SP,AUTOMÁTICO,1.4,FLEX,106900.0
CHEVROLET,S10,2019.0,2018,74125.0,Branco,AM,AUTOMÁTICO,2.8,DIESEL,139850.0
CHEVROLET,ONIX,2019.0,2019,63000.0,Branco,SC,AUTOMÁTICO,1.4,FLEX,76900.0
CHEVROLET,CRUZE,2019.0,2019,51800.0,Branco,PR,AUTOMÁTICO,1.4,FLEX,110990.0
CHEVROLET,ONIX,2021.0,2020,28479.0,Prata,PE,AUTOMÁTICO,1.0,FLEX,75490.0
CHEVROLET,S10,2019.0,2018,160000.0,Branco,MG,AUTOMÁTICO,2.8,DIESEL,150900.0
CHEVROLET,S10,2022.0,2021,64000.0,Cinza,MG,AUTOMÁTICO,2.8,DIESEL,225000.0
CHEVROLET,ONIX,2016.0,2016,96000.0,Prata,SP,MANUAL,1.0,FLEX,47900.0
CHEVROLET,TRACKER,2021.0,2021,17771.0,Branco,SP,AUTOMÁTICO,1.0,FLEX,100700.0
CHEVROLET,SPIN,2018.0,2017,120000.0,Azul,SP,AUTOMÁTICO,1.8,FLEX,61790.0
CHEVROLET,PRISMA,2017.0,2017,26602.0,Branco,CE,MANUAL,1.4,FLEX,60000.0
CHEVROLET,CRUZE,2022.0,2021,28310.0,Preto,SP,AUTOMÁTICO,1.4,FLEX,119900.0
CHEVROLET,TRACKER,2021.0,2020,18661.0,Branco,MG,AUTOMÁTICO,1.2,FLEX,111900.0
CHEVROLET,TRACKER,2023.0,2023,0.0,Cinza,SP,AUTOMÁTICO,1.2,FLEX,154650.0
CHEVROLET,CRUZE,2017.0,2016,66188.0,Cinza,SP,AUTOMÁTICO,1.4,FLEX,85990.0
CHEVROLET,CAMARO,2012.0,2011,39384.0,Amarelo,SP,AUTOMÁTICO,6.2,GASOLINA,199800.0
CHEVROLET,TRACKER,2022.0,2021,12000.0,Vermelho,SP,AUTOMÁTICO,1.2,FLEX,135990.0
CHEVROLET,CRUZE,2015.0,2015,105000.0,Prata,SP,AUTOMÁTICO,1.8,FLEX,69900.0
CHEVROLET,ONIX,2022.0,2022,22180.0,Cinza,PE,MANUAL,1.0,FLEX,81550.0
CHEVROLET,TRACKER,2014.0,2014,101000.0,Branco,SP,AUTOMÁTICO,1.8,FLEX,72990.0
CHEVROLET,ONIX,2022.0,2021,18080.0,Preto,MG,MANUAL,1.0,FLEX,81800.0
CHEVROLET,ONIX,2017.0,2016,150000.0,Preto,SP,MANUAL,1.4,FLEX,57900.0
CHEVROLET,CAMARO,2018.0,2018,35774.0,Vermelho,SP,AUTOMÁTICO,6.2,GASOLINA,378900.0
CHEVROLET,CAMARO,2011.0,2011,35000.0,Amarelo,SP,AUTOMÁTICO,6.2,GASOLINA,239000.0
CHEVROLET,ONIX,2018.0,2017,69000.0,Vinho,SC,MANUAL,1.4,FLEX,65900.0
CHEVROLET,VECTRA,2011.0,2011,127297.0,Branco,SP,AUTOMÁTICO,2.0,FLEX,48900.0
CHEVROLET,CRUZE,2017.0,2016,77092.0,Prata,SP,AUTOMÁTICO,1.4,FLEX,89900.0
CHEVROLET,TRACKER,2019.0,2019,55700.0,Preto,SP,AUTOMÁTICO,1.4,FLEX,89900.0
CHEVROLET,PRISMA,2016.0,2016,74260.0,Cinza,MG,MANUAL,1.4,FLEX,59900.0
CHEVROLET,CRUZE,2023.0,2022,5447.0,Branco,PR,AUTOMÁTICO,1.4,FLEX,149800.0
CHEVROLET,ONIX,2018.0,2017,29472.0,Preto,RJ,AUTOMÁTICO,1.4,FLEX,69900.0
CHEVROLET,S10,2021.0,2020,72000.0,Prata,SP,MANUAL,2.8,DIESEL,165900.0
CHEVROLET,TRACKER,2016.0,2015,82856.0,Preto,SP,AUTOMÁTICO,1.8,FLEX,68900.0
CHEVROLET,SPIN,2023.0,2022,500.0,Branco,SP,AUTOMÁTICO,1.8,FLEX,119900.0
CHEVROLET,TRACKER,2022.0,2022,21000.0,Prata,SP,AUTOMÁTICO,1.2,FLEX,140900.0
